Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Open Type,34:47,ExportBranchAction,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,34:47,ExportBranchAction,Class,,,,Navigation,,Java Editor,Scan for Errors,
Show Instruction,35:01,,Instruction,ExportBranchAction,actionPerformed,Method Calls Method,Navigation,Mouse,Results Window,,
Copy Code,35:06,,Instruction,ExportBranchAction,actionPerformed,,Edit Code,Keyboard,Java Editor,Copy catch block,
Edit Code,35:14,actionPerformed,Method,ExportBranchAction,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Open Type,35:36,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,35:56,close,Method,ControllerAdapter ,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Edit Code,36:53,?,Method,ControllerAdapter ,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Show Instruction,37:18,,Instruction,ExportWithXSLT,startupMapHook,Method Contains Errors,Navigation,Mouse,Problems Window,,
Back,37:25,ControllerAdapter,Class,,,,Navigation,Mouse,Eclipse,,
Back,37:26,ControllerAdapter,Class,,,,Navigation,Mouse,Eclipse,,
Back,37:29,ControllerAdapter,Class,,,,Navigation,Mouse,Eclipse,,
Back,37:38,ControllerAdapter.SaveAction,Class,,,,Navigation,Mouse,Eclipse,,
Copy Code,37:44,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,Copy try/catch block,
Open Type,37:49,ExportWithXSLT,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,35:56,startupMapHook,Method,ExportWithXSLT,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Open Type,38:20,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Show Instruction,38:28,,Instruction,ControllerAdapter ,save ,Method Calls Method,Navigation,Mouse,Results Window,,A
Show Instruction,38:31,,Instruction,ControllerAdapter ,save ,Method Calls Method,Navigation,Mouse,Results Window,,B
Show Instruction,38:33,,Instruction,ControllerAdapter ,saveAs,Method Calls Method,Navigation,Mouse,Results Window,,
Scan,38:39,saveAs,Method,ControllerAdapter ,,,Navigation,,Java Editor,,
Show Instruction,38:44,,Instruction,ExportBranchAction,actionPerformed,Method Calls Method,Navigation,Mouse,Results Window,,
Copy Code,38:49,,Instruction,ExportBranchAction,actionPerformed,,Edit Code,Keyboard,Java Editor,Copy catch block,
Open Type,38:52,ExportWithXSLT,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,38:57,startupMapHook,Method,ExportWithXSLT,,,Edit Code,Keyboard,Java Editor,Complete try/catch bock,
Open Type,39:12,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,39:12,ControllerAdapter,Class,,,,Navigation,,Java Editor,,
Open Type,39:42,ExportWithXSLT,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Show Instruction,39:49,,Instruction,MindMapController,loadURL,Method Contains Errors,Navigation,Mouse,Problems Window,,
Back,40:01,ControllerAdapter,Class,,,,Navigation,Mouse,Eclipse,,
Forward,40:13,MindMapController,Class,,,,Navigation,Mouse,Eclipse,,
Edit Code,40:15,loadURL,Method,MindMapController,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Show Instruction,40:51,,Instruction,SaveAll,startupMapHook,Method Contains Errors,Navigation,Mouse,Problems Window,,
Back,40:58,ControllerAdapter,Class,,,,Navigation,Mouse,Eclipse,,
Open Type,41:01,SaveAll,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,41:12,startupMapHook,Method,SaveAll,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Show Instruction,41:45,,Instruction,SchemeController,saveAs,Method Contains Errors,Navigation,Mouse,Problems Window,,
Edit Code,41:12,saveAs,Method,SchemeController,,,Edit Code,Keyboard,Java Editor,add try/catch bock,
Run,42:11,FreeMind_integration,Project,,,,Debugging,Mouse,Eclipse,-> error message not shown,
Scan,44:31,,Stacktrace,,,,Navigation,,Console Window,,
Show Instruction,44:39,,Instruction,ControllerAdapter.SaveAction,actionPerformed,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Edit Code,44:50,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,"remove own comment, add syso",
Open Declaration,45:52,save ,Method,ControllerAdapter ,,Declaration,Navigation,Mouse,Java Editor,,
Show Instruction,45:58,,Instruction,MindMapMapModel,save ,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Show Instruction,46:07,,Instruction,EncryptedMindMapNode,save ,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Open Type,46:16,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Show Instruction,46:22,,Instruction,ControllerAdapter.SaveAction,actionPerformed,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Edit Code,46:40,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,change String,
Run,46:54,FreeMind_integration,Project,,,,Debugging,Mouse,Eclipse,,
Scan,48:24,,Stacktrace,,,,Navigation,,Console Window,,
Show Instruction,48:49,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Show Instruction,49:10,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
