Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Collapse,12:22,btEditFilteractionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:23,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:24,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:31,brRemoveFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:32,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:33,btAddFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:34,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:35,txtDateMouseClicked,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:36,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:37,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:38,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:39,btForwardActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:40,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Expand,12:42,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:44,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
